MNC;MCC;PCI;RSRP >= -110;RSRP < -110
10;200;104;0;31
1;231;311;1;81
1;231;39;42;11
1;231;47;34;57
3;231;6;1;39
3;231;7;22;16
3;231;8;33;89
6;231;17;33;1
6;231;386;56;1
3;231;11;39;91
6;231;20;113;6
1;231;230;23;87
1;231;244;26;2
1;231;49;43;10
3;231;35;40;88
6;231;31;0;15
1;231;341;116;1
3;231;47;27;99
6;231;330;94;6
3;231;14;17;60
3;231;15;15;4
3;231;17;28;71
6;231;342;87;3
6;231;399;14;6
1;231;280;95;21
6;231;120;18;0
6;231;276;14;0
6;231;52;62;1
6;231;76;82;3
1;231;191;109;0
6;231;13;81;74
2;231;279;30;13
6;231;266;0;17
3;231;72;97;117
6;231;28;102;4
6;231;346;101;2
6;231;68;97;39
6;231;200;102;13
1;231;171;106;21
1;231;199;60;1
6;231;93;59;11
6;231;141;37;16
6;231;364;122;2
1;231;404;91;2
6;231;491;124;1
1;231;412;141;25
6;231;21;67;35
6;231;105;90;31
6;231;356;89;9
6;231;45;64;75
6;231;42;66;8
3;231;76;32;31
1;231;462;71;24
6;231;61;0;41
1;231;187;76;35
6;231;214;68;6
6;231;50;69;0
1;231;112;68;4
3;231;74;67;60
1;231;432;18;43
1;231;440;15;41
6;231;60;0;13
1;231;231;61;46
6;231;196;19;0
6;231;22;19;5
6;231;320;15;4
6;231;51;18;2
1;231;104;89;27
6;231;284;78;14
3;231;3;35;76
3;231;75;31;64
6;231;465;102;12
3;231;77;38;45
6;231;53;58;12
1;231;120;80;16
1;231;329;63;40
6;231;460;28;2
6;231;331;18;62
1;231;239;16;10
6;231;111;51;3
6;231;496;54;1
6;231;269;4;3
6;231;289;43;33
6;231;397;71;10
6;231;101;35;7
6;231;250;36;5
3;231;73;0;32
1;231;179;0;24
1;231;371;0;28
1;231;470;11;8
1;231;224;8;10
1;231;107;8;9
1;231;337;13;4
3;231;81;3;13
3;231;84;3;7
6;231;287;13;2
6;231;229;0;6
6;231;30;4;9
6;231;59;0;5
